Pitcher,PrevPitch,Strikes,Balls,Outs,Handedness,RunnerFirst,RunnerSecond,RunnerThird,PitchResult
rokisasaki,,0,0,0,R,False,False,False,FF
rokisasaki,FF,1,0,0,R,False,False,False,CU
rokisasaki,CU,2,0,0,R,False,False,False,FS
rokisasaki,FS,2,1,0,R,False,False,False,FS
rokisasaki,,0,0,0,R,False,False,False,FS
rokisasaki,FS,1,0,0,R,False,False,False,FF
rokisasaki,FF,1,1,0,R,False,False,False,CU
rokisasaki,CU,2,1,0,R,False,False,False,FS
rokisasaki,FS,0,0,1,R,False,False,False,FS
rokisasaki,FS,1,0,1,R,False,False,False,FS
rokisasaki,FS,2,0,1,R,False,False,False,FF
rokisasaki,FF,0,0,2,L,False,False,False,FS
rokisasaki,FS,1,0,2,L,False,False,False,CU
rokisasaki,CU,1,1,2,L,False,False,False,CU
rokisasaki,CU,1,2,2,L,False,False,False,CU
rokisasaki,CU,2,2,2,L,False,False,False,CU
rokisasaki,CU,0,0,0,L,False,False,False,FS
rokisasaki,FS,1,0,0,L,False,False,False,CU
rokisasaki,CU,2,0,0,L,False,False,False,CU
rokisasaki,CU,0,0,1,L,False,False,False,FS
rokisasaki,FS,1,0,1,L,False,False,False,FS
rokisasaki,FS,2,0,1,L,False,False,False,FF
rokisasaki,FF,0,0,2,L,False,False,False,FS
rokisasaki,FS,0,1,2,L,False,False,False,FF
rokisasaki,FF,1,1,2,L,False,False,False,FF
rokisasaki,FF,2,1,2,L,False,False,False,CU
rokisasaki,CU,2,2,2,L,False,False,False,CU
rokisasaki,CU,0,0,0,L,False,False,False,FS
rokisasaki,FS,1,0,0,L,False,False,False,CU
rokisasaki,CU,2,0,0,L,False,False,False,CU
rokisasaki,CU,2,1,0,L,False,False,False,FS
rokisasaki,FS,2,2,0,L,False,False,False,CU
rokisasaki,CU,2,3,0,L,False,False,False,FS
rokisasaki,FS,0,0,1,L,False,False,False,FS
rokisasaki,FS,1,0,1,L,False,False,False,FS
rokisasaki,FS,1,1,1,L,False,False,False,FS
rokisasaki,FS,2,1,1,L,False,False,False,CU
rokisasaki,CU,0,0,2,L,False,False,False,CU
rokisasaki,CU,1,0,2,L,False,False,False,FS
rokisasaki,FS,2,0,2,L,False,False,False,FF
rokisasaki,FF,2,1,2,L,False,False,False,CU
rokisasaki,,0,0,0,R,False,False,False,FS
rokisasaki,FS,1,0,0,R,False,False,False,FS
rokisasaki,FS,2,0,0,R,False,False,False,FF
rokisasaki,FF,0,0,1,R,False,False,False,FS
rokisasaki,FS,1,0,1,R,False,False,False,FS
rokisasaki,FS,2,0,1,R,False,False,False,FS
rokisasaki,FS,2,1,1,R,False,False,False,FS
rokisasaki,FS,0,0,2,R,False,False,False,FS
rokisasaki,FS,1,0,2,R,False,False,False,CU
rokisasaki,CU,1,1,2,R,False,False,False,FS
rokisasaki,FS,2,1,2,R,False,False,False,FS
rokisasaki,FS,2,2,2,R,False,False,False,FF
rokisasaki,FF,0,0,0,L,False,False,False,FS
rokisasaki,FS,0,1,0,L,False,False,False,CU
rokisasaki,CU,1,1,0,L,False,False,False,FF
rokisasaki,FF,2,1,0,L,False,False,False,FF
rokisasaki,FF,0,0,1,L,False,False,False,FS
rokisasaki,FS,1,0,1,L,False,False,False,FS
rokisasaki,FS,0,0,1,L,True,False,False,FS
rokisasaki,FS,1,0,1,L,True,False,False,CU
rokisasaki,CU,1,1,1,L,True,False,False,FF
rokisasaki,FF,1,2,1,L,True,False,False,FF
rokisasaki,FF,2,2,1,L,True,False,False,CU
rokisasaki,CU,0,0,2,L,True,False,False,FS
rokisasaki,FS,0,0,2,L,False,True,True,CU
rokisasaki,CU,1,0,2,L,False,True,True,FF
rokisasaki,FF,2,0,2,L,False,True,True,CU
shanemcclanahan,,0,0,0,R,False,False,False,CH
shanemcclanahan,CH,1,0,0,R,False,False,False,CB
shanemcclanahan,CB,1,1,0,R,False,False,False,FF
shanemcclanahan,FF,2,1,0,R,False,False,False,CH
shanemcclanahan,CH,0,0,1,R,False,False,False,FF
shanemcclanahan,FF,0,1,1,R,False,False,False,CB
shanemcclanahan,CB,1,1,1,R,False,False,False,FF
shanemcclanahan,FF,2,1,1,R,False,False,False,CH
shanemcclanahan,CH,0,0,2,R,False,False,False,CB
shanemcclanahan,CB,1,0,2,R,False,False,False,CH
shanemcclanahan,CH,2,0,2,R,False,False,False,CB
rokisasaki,CB,0,0,0,R,False,False,False,FS
rokisasaki,FS,1,0,0,R,False,False,False,CU
rokisasaki,CU,2,0,0,R,False,False,False,FS
rokisasaki,FS,0,0,1,R,False,False,False,FF
rokisasaki,FF,1,0,1,R,False,False,False,CU
rokisasaki,CU,1,1,1,R,False,False,False,CU
rokisasaki,CU,2,1,1,R,False,False,False,FF
rokisasaki,FF,0,0,2,L,False,False,False,FF
rokisasaki,FF,0,1,2,L,False,False,False,CU
rokisasaki,CU,0,0,2,R,False,False,False,FS
rokisasaki,FS,0,1,2,R,False,False,False,CU
rokisasaki,CU,1,1,2,R,False,False,False,CU
rokisasaki,CU,2,1,2,R,False,False,False,CU
rokisasaki,CU,0,0,2,R,False,True,False,CU
rokisasaki,CU,1,0,2,R,False,True,False,FS
rokisasaki,FS,2,0,2,R,False,True,False,CU
rokisasaki,CU,2,1,2,R,False,True,False,FF
shanemcclanahan,FF,0,0,0,L,False,False,False,CH
shanemcclanahan,CH,0,1,0,L,False,False,False,FF
shanemcclanahan,FF,1,1,0,L,False,False,False,FF
shanemcclanahan,FF,2,1,0,L,False,False,False,CH
shanemcclanahan,CH,0,0,1,R,False,False,False,FF
shanemcclanahan,FF,0,1,1,R,False,False,False,CB
shanemcclanahan,CB,1,1,1,R,False,False,False,FF
shanemcclanahan,FF,2,1,1,R,False,False,False,CB
shanemcclanahan,CB,0,0,2,R,False,False,False,CB
shanemcclanahan,CB,1,0,2,R,False,False,False,CH
shanemcclanahan,CH,2,0,2,R,False,False,False,CB
rokisasaki,CB,0,0,0,R,False,False,False,FS
rokisasaki,FS,1,0,0,R,False,False,False,CU
rokisasaki,CU,2,0,0,R,False,False,False,FS
rokisasaki,FS,0,0,1,R,False,False,False,FF
rokisasaki,FF,0,1,1,R,False,False,False,FF
rokisasaki,FF,0,2,1,R,False,False,False,FS
rokisasaki,FS,1,2,1,R,False,False,False,CU
rokisasaki,CU,1,3,1,R,False,False,False,FF
rokisasaki,FF,2,3,1,R,False,False,False,FF
