pitcher,pitch_type,firstx,firsty,secondx,secondy,finalx,finaly,hit_type,called_strike,foul,swinging_strike,ball,in_zone
Yamamoto,FF,588.0,423.0,647.2859424234798,531.5511172372461,647.2859424234798,531.5511172372461,false,True,False,False,False,True
Yamamoto,FS,588.0,423.0,566.37764219791,482.4346112043532,552.2385506563483,561.0572813870773,false,False,False,False,True,False
Yamamoto,FS,588.0,423.0,586.184620215711,490.7485775212504,571.4235254965123,573.3379002040094,false,False,False,False,True,False
Yamamoto,CB,588.0,423.0,617.3034579687265,461.1100814781984,631.2843463174175,539.6118655991146,false,True,False,False,False,True
Yamamoto,FC,588.0,423.0,667.5869191657567,555.796000146006,667.5869191657567,555.796000146006,false,True,False,False,False,True
Yamamoto,FC,588.0,423.0,642.3968361852751,454.53477537362863,642.3968361852751,454.53477537362863,false,True,False,False,False,True
Yamamoto,FS,588.0,423.0,550.900388016762,508.6708880605865,513.515639941135,599.8110726541971,false,False,False,False,True,False
Yamamoto,FC,588.0,423.0,648.8659294070243,435.2966553657219,648.8659294070243,435.2966553657219,false,True,False,False,False,True
Yamamoto,FC,588.0,423.0,691.7087484167524,500.72942985905684,691.7087484167524,500.72942985905684,false,True,False,False,False,True
Yamamoto,FC,588.0,423.0,593.185033513384,484.0040178222114,593.185033513384,484.0040178222114,false,True,False,False,False,True
Yamamoto,FC,588.0,423.0,587.323855247359,524.5102813838193,587.323855247359,524.5102813838193,false,True,False,False,False,True
Yamamoto,FS,588.0,423.0,579.9565513564309,485.03379211543876,570.7549494509727,564.8965500091326,false,True,False,False,False,True
Yamamoto,FC,588.0,423.0,570.2490130391461,440.6402641748804,570.2490130391461,440.6402641748804,false,True,False,False,False,True
Yamamoto,FC,588.0,423.0,617.9166006471658,550.7919624560669,617.9166006471658,550.7919624560669,false,True,False,False,False,True
Yamamoto,FF,588.0,423.0,564.0717325205754,529.3567095591055,564.0717325205754,529.3567095591055,false,True,False,False,False,True
Yamamoto,FF,588.0,423.0,571.2075076872846,373.61567542407556,553.142491256671,360.10726153874333,false,False,False,False,True,False
Yamamoto,FF,588.0,423.0,628.0330889880213,389.6941537694051,637.0799618219082,383.85689633266674,false,False,False,False,True,False
Yamamoto,FS,588.0,423.0,551.2495454686455,523.9872511369786,519.1968202080457,622.4349815604221,false,False,False,False,True,False
Yamamoto,CB,588.0,423.0,590.928842939252,502.4690539134742,592.3262147500546,600.7034981337988,false,False,False,False,True,False
Yamamoto,FS,588.0,423.0,596.4054974533193,524.9557000258651,586.8134479453006,623.8654843066174,false,False,False,False,True,False
Yamamoto,FS,588.0,423.0,581.760168230116,497.22034068283153,578.6402251997764,582.8973876293206,false,False,False,False,True,False
Yamamoto,FC,588.0,423.0,712.5657614140432,482.9863343799229,712.5657614140432,482.9863343799229,false,False,False,False,True,False
Yamamoto,FC,588.0,423.0,658.0861129405059,582.086259831957,658.0861129405059,582.086259831957,false,False,False,False,True,False
Yamamoto,FF,588.0,423.0,585.9203345156509,434.81285758075984,574.874912475588,450.5020548408499,false,True,False,False,False,True
Yamamoto,CB,588.0,423.0,629.0910150763615,467.9333015391339,648.6958308127874,549.6904925117702,false,True,False,False,False,True
Yamamoto,FF,588.0,423.0,681.428124171009,483.035336180237,681.428124171009,483.035336180237,false,True,False,False,False,True
Yamamoto,CB,588.0,423.0,576.961315950598,453.3851403977193,571.6946812286525,528.2013001509702,false,True,False,False,False,True
Yamamoto,FF,588.0,423.0,616.5275390047954,468.8919339653794,616.5275390047954,468.8919339653794,false,True,False,False,False,True
Yamamoto,FC,588.0,423.0,670.0286745740476,453.5556277002924,670.0286745740476,453.5556277002924,false,True,False,False,False,True
Yamamoto,FF,588.0,423.0,693.1857868683626,546.9759575614075,693.1857868683626,546.9759575614075,false,True,False,False,False,True
Yamamoto,FS,588.0,423.0,553.8093861861094,508.15206980388496,527.1083663734929,599.0447225148096,false,False,False,False,True,False
Yamamoto,FF,588.0,423.0,589.7676345974654,478.0376345845849,589.7676345974654,478.0376345845849,false,True,False,False,False,True
Yamamoto,FS,588.0,423.0,580.4388463860305,495.4705957348309,572.0000901408281,580.312826913748,false,False,False,False,True,False
Yamamoto,FF,588.0,423.0,705.9230372625531,475.4277055662728,705.9230372625531,475.4277055662728,false,True,False,False,False,True
Yamamoto,FS,588.0,423.0,578.2057321812425,511.3964850933235,563.4481166855907,603.8370714292435,false,False,False,False,True,False
Yamamoto,FF,588.0,423.0,587.0102515402432,376.119780584869,576.4848366695195,363.806093093391,false,False,False,False,True,False
Yamamoto,FF,588.0,423.0,618.7730069700909,424.9399555040267,623.4018287695035,435.9187209181661,false,True,False,False,False,True
Yamamoto,FC,588.0,423.0,619.8083623862864,513.5708577506898,619.8083623862864,513.5708577506898,false,True,False,False,False,True
Yamamoto,FS,588.0,423.0,597.4514075820986,518.3837417425786,583.045756212734,614.1579979539493,false,False,False,False,True,False
Yamamoto,FF,588.0,423.0,579.3787002262594,381.570159622142,565.2122179101173,371.85688675952736,false,False,False,False,True,False
Yamamoto,CB,588.0,423.0,639.0744078200721,459.71348615127584,663.4423712860223,537.5489447021912,false,True,False,False,False,True
Yamamoto,FC,588.0,423.0,686.7446986746407,425.3005400970715,686.7446986746407,425.3005400970715,false,True,False,False,False,True
Yamamoto,FF,588.0,423.0,621.1081592877596,407.7151255968999,625.1312417611397,408.5507177900323,false,True,False,False,False,True
